Band	Description
[723.98, 724.02] Hz 	Comb with fundamental freq 20 and spacing 1
[724.98, 725.02] Hz 	Comb with fundamental freq 20 and spacing 1
[725.98, 726.02] Hz 	Comb with fundamental freq 20 and spacing 1
[726.98, 727.02] Hz 	Comb with fundamental freq 20 and spacing 1
[727.98, 728.02] Hz 	Comb with fundamental freq 20 and spacing 1
[728.98, 729.02] Hz 	Comb with fundamental freq 20 and spacing 1
[729.98, 730.02] Hz 	Comb with fundamental freq 20 and spacing 1
[730.98, 731.02] Hz 	Comb with fundamental freq 20 and spacing 1
[731.98, 732.02] Hz 	Comb with fundamental freq 20 and spacing 1
[732.98, 733.02] Hz 	Comb with fundamental freq 20 and spacing 1
[733.98, 734.02] Hz 	Comb with fundamental freq 20 and spacing 1
[734.98, 735.02] Hz 	Comb with fundamental freq 20 and spacing 1
[735.98, 736.02] Hz 	Comb with fundamental freq 20 and spacing 1
[736.98, 737.02] Hz 	Comb with fundamental freq 20 and spacing 1
[737.98, 738.02] Hz 	Comb with fundamental freq 20 and spacing 1
[738.98, 739.02] Hz 	Comb with fundamental freq 20 and spacing 1
[739.98, 740.02] Hz 	Comb with fundamental freq 20 and spacing 1
[740.98, 741.02] Hz 	Comb with fundamental freq 20 and spacing 1
[741.98, 742.02] Hz 	Comb with fundamental freq 20 and spacing 1
[742.98, 743.02] Hz 	Comb with fundamental freq 20 and spacing 1
[743.98, 744.02] Hz 	Comb with fundamental freq 20 and spacing 1
[744.98, 745.02] Hz 	Comb with fundamental freq 20 and spacing 1
[745.98, 746.02] Hz 	Comb with fundamental freq 20 and spacing 1
[746.98, 747.02] Hz 	Comb with fundamental freq 20 and spacing 1
[747.98, 748.02] Hz 	Comb with fundamental freq 20 and spacing 1
[748.98, 749.02] Hz 	Comb with fundamental freq 20 and spacing 1
[749.89, 750.11] Hz 	Power Lines
[749.98, 750.02] Hz 	Comb with fundamental freq 20 and spacing 1
[750.98, 751.02] Hz 	Comb with fundamental freq 20 and spacing 1
[751.98, 752.02] Hz 	Comb with fundamental freq 20 and spacing 1
[752.98, 753.02] Hz 	Comb with fundamental freq 20 and spacing 1
[753.98, 754.02] Hz 	Comb with fundamental freq 20 and spacing 1
[754.98, 755.02] Hz 	Comb with fundamental freq 20 and spacing 1
[755.98, 756.02] Hz 	Comb with fundamental freq 20 and spacing 1
[756.98, 757.02] Hz 	Comb with fundamental freq 20 and spacing 1
[757.98, 758.02] Hz 	Comb with fundamental freq 20 and spacing 1
[758.98, 759.02] Hz 	Comb with fundamental freq 20 and spacing 1
[759.98, 760.02] Hz 	Comb with fundamental freq 20 and spacing 1
[760.98, 761.02] Hz 	Comb with fundamental freq 20 and spacing 1
[761.98, 762.02] Hz 	Comb with fundamental freq 20 and spacing 1
[762.98, 763.02] Hz 	Comb with fundamental freq 20 and spacing 1
[763.77, 763.92] Hz 	Pulsar injection
[763.98, 764.02] Hz 	Comb with fundamental freq 20 and spacing 1
[764.98, 765.02] Hz 	Comb with fundamental freq 20 and spacing 1
[765.98, 766.02] Hz 	Comb with fundamental freq 20 and spacing 1
[766.98, 767.02] Hz 	Comb with fundamental freq 20 and spacing 1
[767.98, 768.02] Hz 	Comb with fundamental freq 20 and spacing 1
[768.98, 769.02] Hz 	Comb with fundamental freq 20 and spacing 1
[769.98, 770.02] Hz 	Comb with fundamental freq 20 and spacing 1
[770.98, 771.02] Hz 	Comb with fundamental freq 20 and spacing 1
[771.98, 772.02] Hz 	Comb with fundamental freq 20 and spacing 1
[772.98, 773.02] Hz 	Comb with fundamental freq 20 and spacing 1
[773.98, 774.02] Hz 	Comb with fundamental freq 20 and spacing 1
[774.98, 775.02] Hz 	Comb with fundamental freq 20 and spacing 1
[775.98, 776.02] Hz 	Comb with fundamental freq 20 and spacing 1
[776.98, 777.02] Hz 	Comb with fundamental freq 20 and spacing 1
[777.98, 778.02] Hz 	Comb with fundamental freq 20 and spacing 1
[778.98, 779.02] Hz 	Comb with fundamental freq 20 and spacing 1
[779.89, 780.11] Hz 	Power Lines
[779.98, 780.02] Hz 	Comb with fundamental freq 20 and spacing 1
[780.98, 781.02] Hz 	Comb with fundamental freq 20 and spacing 1
[781.98, 782.02] Hz 	Comb with fundamental freq 20 and spacing 1
[782.98, 783.02] Hz 	Comb with fundamental freq 20 and spacing 1
[783.98, 784.02] Hz 	Comb with fundamental freq 20 and spacing 1
[784.98, 785.02] Hz 	Comb with fundamental freq 20 and spacing 1
[785.98, 786.02] Hz 	Comb with fundamental freq 20 and spacing 1
[786.98, 787.02] Hz 	Comb with fundamental freq 20 and spacing 1
[787.98, 788.02] Hz 	Comb with fundamental freq 20 and spacing 1
[788.98, 789.02] Hz 	Comb with fundamental freq 20 and spacing 1
[789.98, 790.02] Hz 	Comb with fundamental freq 20 and spacing 1
[790.98, 791.02] Hz 	Comb with fundamental freq 20 and spacing 1
[791.98, 792.02] Hz 	Comb with fundamental freq 20 and spacing 1
[792.98, 793.02] Hz 	Comb with fundamental freq 20 and spacing 1
[793.98, 794.02] Hz 	Comb with fundamental freq 20 and spacing 1
[794.98, 795.02] Hz 	Comb with fundamental freq 20 and spacing 1
[795.98, 796.02] Hz 	Comb with fundamental freq 20 and spacing 1
[796.98, 797.02] Hz 	Comb with fundamental freq 20 and spacing 1
[797.98, 798.02] Hz 	Comb with fundamental freq 20 and spacing 1
[798.98, 799.02] Hz 	Comb with fundamental freq 20 and spacing 1
[799.89, 800.11] Hz 	Power Lines
[799.98, 800.02] Hz 	Comb with fundamental freq 20 and spacing 1
[800.98, 801.02] Hz 	Comb with fundamental freq 20 and spacing 1
[801.98, 802.02] Hz 	Comb with fundamental freq 20 and spacing 1
[802.98, 803.02] Hz 	Comb with fundamental freq 20 and spacing 1
[803.98, 804.02] Hz 	Comb with fundamental freq 20 and spacing 1
[804.98, 805.02] Hz 	Comb with fundamental freq 20 and spacing 1
[805.98, 806.02] Hz 	Comb with fundamental freq 20 and spacing 1
[806.98, 807.02] Hz 	Comb with fundamental freq 20 and spacing 1
[807.98, 808.02] Hz 	Comb with fundamental freq 20 and spacing 1
[808.98, 809.02] Hz 	Comb with fundamental freq 20 and spacing 1
[809.98, 810.02] Hz 	Comb with fundamental freq 20 and spacing 1
[810.98, 811.02] Hz 	Comb with fundamental freq 20 and spacing 1
[811.98, 812.02] Hz 	Comb with fundamental freq 20 and spacing 1
[812.98, 813.02] Hz 	Comb with fundamental freq 20 and spacing 1
[813.98, 814.02] Hz 	Comb with fundamental freq 20 and spacing 1
[814.98, 815.02] Hz 	Comb with fundamental freq 20 and spacing 1
[815.98, 816.02] Hz 	Comb with fundamental freq 20 and spacing 1
[816.98, 817.02] Hz 	Comb with fundamental freq 20 and spacing 1
[817.98, 818.02] Hz 	Comb with fundamental freq 20 and spacing 1
[818.98, 819.02] Hz 	Comb with fundamental freq 20 and spacing 1
[819.98, 820.02] Hz 	Comb with fundamental freq 20 and spacing 1
[820.98, 821.02] Hz 	Comb with fundamental freq 20 and spacing 1
[821.98, 822.02] Hz 	Comb with fundamental freq 20 and spacing 1
[822.98, 823.02] Hz 	Comb with fundamental freq 20 and spacing 1
[823.98, 824.02] Hz 	Comb with fundamental freq 20 and spacing 1
[824.98, 825.02] Hz 	Comb with fundamental freq 20 and spacing 1
[825.98, 826.02] Hz 	Comb with fundamental freq 20 and spacing 1
[826.98, 827.02] Hz 	Comb with fundamental freq 20 and spacing 1
[827.98, 828.02] Hz 	Comb with fundamental freq 20 and spacing 1
[828.98, 829.02] Hz 	Comb with fundamental freq 20 and spacing 1
[829.98, 830.02] Hz 	Comb with fundamental freq 20 and spacing 1
[830.98, 831.02] Hz 	Comb with fundamental freq 20 and spacing 1
[831.98, 832.02] Hz 	Comb with fundamental freq 20 and spacing 1
[832.98, 833.02] Hz 	Comb with fundamental freq 20 and spacing 1
[833.98, 834.02] Hz 	Comb with fundamental freq 20 and spacing 1
[834.98, 835.02] Hz 	Comb with fundamental freq 20 and spacing 1
[835.98, 836.02] Hz 	Comb with fundamental freq 20 and spacing 1
[836.98, 837.02] Hz 	Comb with fundamental freq 20 and spacing 1
[837.98, 838.02] Hz 	Comb with fundamental freq 20 and spacing 1
[838.98, 839.02] Hz 	Comb with fundamental freq 20 and spacing 1
[839.89, 840.11] Hz 	Power Lines
[839.98, 840.02] Hz 	Comb with fundamental freq 20 and spacing 1
[840.98, 841.02] Hz 	Comb with fundamental freq 20 and spacing 1
[841.98, 842.02] Hz 	Comb with fundamental freq 20 and spacing 1
[842.98, 843.02] Hz 	Comb with fundamental freq 20 and spacing 1
[843.98, 844.02] Hz 	Comb with fundamental freq 20 and spacing 1
[844.98, 845.02] Hz 	Comb with fundamental freq 20 and spacing 1
[845.98, 846.02] Hz 	Comb with fundamental freq 20 and spacing 1
[846.98, 847.02] Hz 	Comb with fundamental freq 20 and spacing 1
[847.98, 848.02] Hz 	Comb with fundamental freq 20 and spacing 1
[848.83, 849.05] Hz 	Pulsar injection
[848.98, 849.02] Hz 	Comb with fundamental freq 20 and spacing 1
[849.89, 850.11] Hz 	Power Lines
[849.98, 850.02] Hz 	Comb with fundamental freq 20 and spacing 1
[850.98, 851.02] Hz 	Comb with fundamental freq 20 and spacing 1
[851.98, 852.02] Hz 	Comb with fundamental freq 20 and spacing 1
[852.98, 853.02] Hz 	Comb with fundamental freq 20 and spacing 1
[853.98, 854.02] Hz 	Comb with fundamental freq 20 and spacing 1
[854.98, 855.02] Hz 	Comb with fundamental freq 20 and spacing 1
[855.98, 856.02] Hz 	Comb with fundamental freq 20 and spacing 1
[856.98, 857.02] Hz 	Comb with fundamental freq 20 and spacing 1
[857.98, 858.02] Hz 	Comb with fundamental freq 20 and spacing 1
[858.98, 859.02] Hz 	Comb with fundamental freq 20 and spacing 1
[859.98, 860.02] Hz 	Comb with fundamental freq 20 and spacing 1
[860.98, 861.02] Hz 	Comb with fundamental freq 20 and spacing 1
[861.98, 862.02] Hz 	Comb with fundamental freq 20 and spacing 1
[862.98, 863.02] Hz 	Comb with fundamental freq 20 and spacing 1
[863.98, 864.02] Hz 	Comb with fundamental freq 20 and spacing 1
[864.98, 865.02] Hz 	Comb with fundamental freq 20 and spacing 1
[865.98, 866.02] Hz 	Comb with fundamental freq 20 and spacing 1
[866.98, 867.02] Hz 	Comb with fundamental freq 20 and spacing 1
[867.98, 868.02] Hz 	Comb with fundamental freq 20 and spacing 1
[868.98, 869.02] Hz 	Comb with fundamental freq 20 and spacing 1
[869.98, 870.02] Hz 	Comb with fundamental freq 20 and spacing 1
[870.98, 871.02] Hz 	Comb with fundamental freq 20 and spacing 1
[871.98, 872.02] Hz 	Comb with fundamental freq 20 and spacing 1
[872.98, 873.02] Hz 	Comb with fundamental freq 20 and spacing 1
[873.98, 874.02] Hz 	Comb with fundamental freq 20 and spacing 1
[874.98, 875.02] Hz 	Comb with fundamental freq 20 and spacing 1
[875.98, 876.02] Hz 	Comb with fundamental freq 20 and spacing 1
[876.98, 877.02] Hz 	Comb with fundamental freq 20 and spacing 1
[877.98, 878.02] Hz 	Comb with fundamental freq 20 and spacing 1
[878.98, 879.02] Hz 	Comb with fundamental freq 20 and spacing 1
[879.98, 880.02] Hz 	Comb with fundamental freq 20 and spacing 1
[880.98, 881.02] Hz 	Comb with fundamental freq 20 and spacing 1
[881.98, 882.02] Hz 	Comb with fundamental freq 20 and spacing 1
[882.98, 883.02] Hz 	Comb with fundamental freq 20 and spacing 1
[883.98, 884.02] Hz 	Comb with fundamental freq 20 and spacing 1
[884.98, 885.02] Hz 	Comb with fundamental freq 20 and spacing 1
[885.98, 886.02] Hz 	Comb with fundamental freq 20 and spacing 1
[886.98, 887.02] Hz 	Comb with fundamental freq 20 and spacing 1
[887.98, 888.02] Hz 	Comb with fundamental freq 20 and spacing 1
[888.98, 889.02] Hz 	Comb with fundamental freq 20 and spacing 1
[889.98, 890.02] Hz 	Comb with fundamental freq 20 and spacing 1
[890.02, 890.23] Hz 	Pulsar injection
[890.98, 891.02] Hz 	Comb with fundamental freq 20 and spacing 1
[891.98, 892.02] Hz 	Comb with fundamental freq 20 and spacing 1
[892.98, 893.02] Hz 	Comb with fundamental freq 20 and spacing 1
[893.98, 894.02] Hz 	Comb with fundamental freq 20 and spacing 1
[881.48, 908.52] Hz 	Violin mode 2nd harmonic
[894.98, 895.02] Hz 	Comb with fundamental freq 20 and spacing 1
[895.98, 896.02] Hz 	Comb with fundamental freq 20 and spacing 1
[896.98, 897.02] Hz 	Comb with fundamental freq 20 and spacing 1
[897.98, 898.02] Hz 	Comb with fundamental freq 20 and spacing 1
[898.98, 899.02] Hz 	Comb with fundamental freq 20 and spacing 1
[899.89, 900.11] Hz 	Power Lines
[899.89, 900.11] Hz 	Power Lines
[899.98, 900.02] Hz 	Comb with fundamental freq 20 and spacing 1
[900.98, 901.02] Hz 	Comb with fundamental freq 20 and spacing 1
[901.98, 902.02] Hz 	Comb with fundamental freq 20 and spacing 1
[902.98, 903.02] Hz 	Comb with fundamental freq 20 and spacing 1
[903.98, 904.02] Hz 	Comb with fundamental freq 20 and spacing 1
[904.98, 905.02] Hz 	Comb with fundamental freq 20 and spacing 1
[905.98, 906.02] Hz 	Comb with fundamental freq 20 and spacing 1
[906.98, 907.02] Hz 	Comb with fundamental freq 20 and spacing 1
[907.98, 908.02] Hz 	Comb with fundamental freq 20 and spacing 1
[908.98, 909.02] Hz 	Comb with fundamental freq 20 and spacing 1
[909.98, 910.02] Hz 	Comb with fundamental freq 20 and spacing 1
[910.98, 911.02] Hz 	Comb with fundamental freq 20 and spacing 1
[911.98, 912.02] Hz 	Comb with fundamental freq 20 and spacing 1
[912.98, 913.02] Hz 	Comb with fundamental freq 20 and spacing 1
[913.98, 914.02] Hz 	Comb with fundamental freq 20 and spacing 1
[914.98, 915.02] Hz 	Comb with fundamental freq 20 and spacing 1
[915.98, 916.02] Hz 	Comb with fundamental freq 20 and spacing 1
[916.98, 917.02] Hz 	Comb with fundamental freq 20 and spacing 1
[917.98, 918.02] Hz 	Comb with fundamental freq 20 and spacing 1
[918.98, 919.02] Hz 	Comb with fundamental freq 20 and spacing 1
[919.98, 920.02] Hz 	Comb with fundamental freq 20 and spacing 1
[920.98, 921.02] Hz 	Comb with fundamental freq 20 and spacing 1
[921.98, 922.02] Hz 	Comb with fundamental freq 20 and spacing 1
[922.98, 923.02] Hz 	Comb with fundamental freq 20 and spacing 1
[923.98, 924.02] Hz 	Comb with fundamental freq 20 and spacing 1
[924.98, 925.02] Hz 	Comb with fundamental freq 20 and spacing 1
[925.98, 926.02] Hz 	Comb with fundamental freq 20 and spacing 1
[926.98, 927.02] Hz 	Comb with fundamental freq 20 and spacing 1
[927.98, 928.02] Hz 	Comb with fundamental freq 20 and spacing 1
[928.98, 929.02] Hz 	Comb with fundamental freq 20 and spacing 1
[929.98, 930.02] Hz 	Comb with fundamental freq 20 and spacing 1
[930.98, 931.02] Hz 	Comb with fundamental freq 20 and spacing 1
[931.98, 932.02] Hz 	Comb with fundamental freq 20 and spacing 1
[932.98, 933.02] Hz 	Comb with fundamental freq 20 and spacing 1
[933.98, 934.02] Hz 	Comb with fundamental freq 20 and spacing 1
[934.98, 935.02] Hz 	Comb with fundamental freq 20 and spacing 1
[935.98, 936.02] Hz 	Comb with fundamental freq 20 and spacing 1
[936.98, 937.02] Hz 	Comb with fundamental freq 20 and spacing 1
[937.98, 938.02] Hz 	Comb with fundamental freq 20 and spacing 1
[938.98, 939.02] Hz 	Comb with fundamental freq 20 and spacing 1
[939.98, 940.02] Hz 	Comb with fundamental freq 20 and spacing 1
[940.98, 941.02] Hz 	Comb with fundamental freq 20 and spacing 1
[941.98, 942.02] Hz 	Comb with fundamental freq 20 and spacing 1
[942.98, 943.02] Hz 	Comb with fundamental freq 20 and spacing 1
[943.98, 944.02] Hz 	Comb with fundamental freq 20 and spacing 1
[944.98, 945.02] Hz 	Comb with fundamental freq 20 and spacing 1
[945.98, 946.02] Hz 	Comb with fundamental freq 20 and spacing 1
[946.98, 947.02] Hz 	Comb with fundamental freq 20 and spacing 1
[947.98, 948.02] Hz 	Comb with fundamental freq 20 and spacing 1
[948.98, 949.02] Hz 	Comb with fundamental freq 20 and spacing 1
[949.89, 950.11] Hz 	Power Lines
[949.98, 950.02] Hz 	Comb with fundamental freq 20 and spacing 1
[950.98, 951.02] Hz 	Comb with fundamental freq 20 and spacing 1
[951.98, 952.02] Hz 	Comb with fundamental freq 20 and spacing 1
[952.98, 953.02] Hz 	Comb with fundamental freq 20 and spacing 1
[953.98, 954.02] Hz 	Comb with fundamental freq 20 and spacing 1
[954.98, 955.02] Hz 	Comb with fundamental freq 20 and spacing 1
[955.98, 956.02] Hz 	Comb with fundamental freq 20 and spacing 1
[956.98, 957.02] Hz 	Comb with fundamental freq 20 and spacing 1
[957.98, 958.02] Hz 	Comb with fundamental freq 20 and spacing 1
[958.98, 959.02] Hz 	Comb with fundamental freq 20 and spacing 1
[959.89, 960.11] Hz 	Power Lines
[959.98, 960.02] Hz 	Comb with fundamental freq 20 and spacing 1
[960.98, 961.02] Hz 	Comb with fundamental freq 20 and spacing 1
[961.98, 962.02] Hz 	Comb with fundamental freq 20 and spacing 1
[962.98, 963.02] Hz 	Comb with fundamental freq 20 and spacing 1
[963.98, 964.02] Hz 	Comb with fundamental freq 20 and spacing 1
[964.98, 965.02] Hz 	Comb with fundamental freq 20 and spacing 1
[965.98, 966.02] Hz 	Comb with fundamental freq 20 and spacing 1
[966.98, 967.02] Hz 	Comb with fundamental freq 20 and spacing 1
[967.98, 968.02] Hz 	Comb with fundamental freq 20 and spacing 1
[968.98, 969.02] Hz 	Comb with fundamental freq 20 and spacing 1
[969.98, 970.02] Hz 	Comb with fundamental freq 20 and spacing 1
[970.98, 971.02] Hz 	Comb with fundamental freq 20 and spacing 1
[971.98, 972.02] Hz 	Comb with fundamental freq 20 and spacing 1
[972.98, 973.02] Hz 	Comb with fundamental freq 20 and spacing 1
[973.98, 974.02] Hz 	Comb with fundamental freq 20 and spacing 1
[974.98, 975.02] Hz 	Comb with fundamental freq 20 and spacing 1
[975.98, 976.02] Hz 	Comb with fundamental freq 20 and spacing 1
[976.98, 977.02] Hz 	Comb with fundamental freq 20 and spacing 1
[977.98, 978.02] Hz 	Comb with fundamental freq 20 and spacing 1
[978.98, 979.02] Hz 	Comb with fundamental freq 20 and spacing 1
[979.98, 980.02] Hz 	Comb with fundamental freq 20 and spacing 1
[980.98, 981.02] Hz 	Comb with fundamental freq 20 and spacing 1
[981.98, 982.02] Hz 	Comb with fundamental freq 20 and spacing 1
[982.98, 983.02] Hz 	Comb with fundamental freq 20 and spacing 1
[983.98, 984.02] Hz 	Comb with fundamental freq 20 and spacing 1
[984.98, 985.02] Hz 	Comb with fundamental freq 20 and spacing 1
[985.98, 986.02] Hz 	Comb with fundamental freq 20 and spacing 1
[986.98, 987.02] Hz 	Comb with fundamental freq 20 and spacing 1
[987.98, 988.02] Hz 	Comb with fundamental freq 20 and spacing 1
[988.98, 989.02] Hz 	Comb with fundamental freq 20 and spacing 1
[989.98, 990.02] Hz 	Comb with fundamental freq 20 and spacing 1
[990.98, 991.02] Hz 	Comb with fundamental freq 20 and spacing 1
[991.98, 992.02] Hz 	Comb with fundamental freq 20 and spacing 1
[992.98, 993.02] Hz 	Comb with fundamental freq 20 and spacing 1
[993.98, 994.02] Hz 	Comb with fundamental freq 20 and spacing 1
[994.98, 995.02] Hz 	Comb with fundamental freq 20 and spacing 1
[995.98, 996.02] Hz 	Comb with fundamental freq 20 and spacing 1
[996.98, 997.02] Hz 	Comb with fundamental freq 20 and spacing 1
[997.98, 998.02] Hz 	Comb with fundamental freq 20 and spacing 1
[998.98, 999.02] Hz 	Comb with fundamental freq 20 and spacing 1
[999.89, 1000.11] Hz 	Power Lines
[959.98, 1040.02] Hz 	Violin mode 2nd harmonic
[999.98, 1000.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1000.98, 1001.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1001.98, 1002.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1002.98, 1003.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1003.98, 1004.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1004.98, 1005.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1005.98, 1006.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1006.98, 1007.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1007.98, 1008.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1008.98, 1009.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1009.98, 1010.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1010.98, 1011.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1011.98, 1012.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1012.98, 1013.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1013.98, 1014.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1014.98, 1015.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1015.98, 1016.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1016.98, 1017.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1017.98, 1018.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1018.98, 1019.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1019.89, 1020.11] Hz 	Power Lines
[1019.98, 1020.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1020.98, 1021.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1021.98, 1022.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1022.98, 1023.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1023.98, 1024.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1024.98, 1025.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1025.98, 1026.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1026.98, 1027.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1027.98, 1028.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1028.98, 1029.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1029.98, 1030.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1030.98, 1031.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1031.98, 1032.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1032.98, 1033.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1033.98, 1034.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1034.98, 1035.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1035.98, 1036.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1036.98, 1037.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1037.98, 1038.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1038.98, 1039.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1039.98, 1040.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1040.98, 1041.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1041.98, 1042.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1042.98, 1043.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1043.98, 1044.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1044.98, 1045.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1045.98, 1046.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1046.98, 1047.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1047.98, 1048.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1048.98, 1049.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1049.89, 1050.11] Hz 	Power Lines
[1049.98, 1050.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1050.98, 1051.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1051.98, 1052.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1052.98, 1053.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1053.98, 1054.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1054.98, 1055.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1055.98, 1056.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1056.98, 1057.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1057.98, 1058.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1058.98, 1059.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1059.98, 1060.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1060.98, 1061.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1061.98, 1062.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1062.98, 1063.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1063.98, 1064.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1064.98, 1065.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1065.98, 1066.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1066.98, 1067.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1067.98, 1068.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1068.98, 1069.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1069.98, 1070.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1070.98, 1071.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1071.98, 1072.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1072.98, 1073.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1073.98, 1074.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1074.98, 1075.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1075.98, 1076.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1076.98, 1077.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1077.98, 1078.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1078.98, 1079.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1079.89, 1080.11] Hz 	Power Lines
[1079.98, 1080.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1080.98, 1081.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1081.98, 1082.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1082.98, 1083.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1083.17, 1084.20] Hz 	H1 calibration line
[1083.98, 1084.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1084.98, 1085.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1085.98, 1086.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1086.98, 1087.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1087.98, 1088.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1088.98, 1089.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1089.98, 1090.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1090.98, 1091.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1091.98, 1092.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1092.98, 1093.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1093.98, 1094.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1094.98, 1095.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1095.98, 1096.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1096.98, 1097.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1097.98, 1098.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1098.98, 1099.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1099.89, 1100.11] Hz 	Power Lines
[1099.98, 1100.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1100.98, 1101.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1101.98, 1102.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1102.98, 1103.02] Hz 	Comb with fundamental freq 20 and spacing 1
