Band	Description
[119.89, 120.11] Hz 	Power Lines
[119.98, 120.02] Hz 	Comb with fundamental freq 20 and spacing 1
[120.92, 121.08] Hz 	V1 second order harmonic of calibration line at 60.5 - identified by CW people
[120.98, 121.02] Hz 	Comb with fundamental freq 20 and spacing 1
[121.92, 122.08] Hz 	V1 second order harmonic of calibration line at 61 - identified by CW people
[121.98, 122.02] Hz 	Comb with fundamental freq 20 and spacing 1
[122.92, 123.08] Hz 	V1 second order harmonic of calibration line at 61.5 - identified by CW people
[122.98, 123.02] Hz 	Comb with fundamental freq 20 and spacing 1
[123.98, 124.02] Hz 	Comb with fundamental freq 20 and spacing 1
[124.92, 125.08] Hz 	V1 second order harmonic of calibration line at 62.5 - identified by CW people
[124.98, 125.02] Hz 	Comb with fundamental freq 20 and spacing 1
[125.92, 126.08] Hz 	V1 second order harmonic of calibration line at 63 - identified by CW people
[125.98, 126.02] Hz 	Comb with fundamental freq 20 and spacing 1
[126.92, 127.08] Hz 	V1 second order harmonic of calibration line at 63.5 - identified by CW people
[126.98, 127.02] Hz 	Comb with fundamental freq 20 and spacing 1
[127.98, 128.02] Hz 	Comb with fundamental freq 20 and spacing 1
[128.98, 129.02] Hz 	Comb with fundamental freq 20 and spacing 1
[129.98, 130.02] Hz 	Comb with fundamental freq 20 and spacing 1
[130.98, 131.02] Hz 	Comb with fundamental freq 20 and spacing 1
[131.98, 132.02] Hz 	Comb with fundamental freq 20 and spacing 1
[132.98, 133.02] Hz 	Comb with fundamental freq 20 and spacing 1
[133.98, 134.02] Hz 	Comb with fundamental freq 20 and spacing 1
[134.98, 135.02] Hz 	Comb with fundamental freq 20 and spacing 1
[135.98, 136.02] Hz 	Comb with fundamental freq 20 and spacing 1
[136.98, 137.02] Hz 	Comb with fundamental freq 20 and spacing 1
[137.42, 137.58] Hz 	V1 NE EM calibration line
[137.98, 138.02] Hz 	Comb with fundamental freq 20 and spacing 1
[138.98, 139.02] Hz 	Comb with fundamental freq 20 and spacing 1
[139.98, 140.02] Hz 	Comb with fundamental freq 20 and spacing 1
[140.98, 141.02] Hz 	Comb with fundamental freq 20 and spacing 1
[141.98, 142.02] Hz 	Comb with fundamental freq 20 and spacing 1
[142.98, 143.02] Hz 	Comb with fundamental freq 20 and spacing 1
[143.98, 144.02] Hz 	Comb with fundamental freq 20 and spacing 1
[144.98, 145.02] Hz 	Comb with fundamental freq 20 and spacing 1
[145.20, 145.48] Hz 	Pulsar injection
[145.98, 146.02] Hz 	Comb with fundamental freq 20 and spacing 1
[146.98, 147.02] Hz 	Comb with fundamental freq 20 and spacing 1
[147.98, 148.02] Hz 	Comb with fundamental freq 20 and spacing 1
[148.98, 149.02] Hz 	Comb with fundamental freq 20 and spacing 1
[149.89, 150.11] Hz 	Power Lines
[149.98, 150.02] Hz 	Comb with fundamental freq 20 and spacing 1
[150.98, 151.02] Hz 	Comb with fundamental freq 20 and spacing 1
[151.98, 152.02] Hz 	Comb with fundamental freq 20 and spacing 1
[152.98, 153.02] Hz 	Comb with fundamental freq 20 and spacing 1
[153.98, 154.02] Hz 	Comb with fundamental freq 20 and spacing 1
[154.98, 155.02] Hz 	Comb with fundamental freq 20 and spacing 1
[155.98, 156.02] Hz 	Comb with fundamental freq 20 and spacing 1
[156.98, 157.02] Hz 	Comb with fundamental freq 20 and spacing 1
[157.98, 158.02] Hz 	Comb with fundamental freq 20 and spacing 1
[158.98, 159.02] Hz 	Comb with fundamental freq 20 and spacing 1
[159.98, 160.02] Hz 	Comb with fundamental freq 20 and spacing 1
[160.98, 161.02] Hz 	Comb with fundamental freq 20 and spacing 1
[161.98, 162.02] Hz 	Comb with fundamental freq 20 and spacing 1
[162.98, 163.02] Hz 	Comb with fundamental freq 20 and spacing 1
[163.98, 164.02] Hz 	Comb with fundamental freq 20 and spacing 1
[164.98, 165.02] Hz 	Comb with fundamental freq 20 and spacing 1
[165.98, 166.02] Hz 	Comb with fundamental freq 20 and spacing 1
[166.98, 167.02] Hz 	Comb with fundamental freq 20 and spacing 1
[167.98, 168.02] Hz 	Comb with fundamental freq 20 and spacing 1
[168.98, 169.02] Hz 	Comb with fundamental freq 20 and spacing 1
[169.98, 170.02] Hz 	Comb with fundamental freq 20 and spacing 1
[170.98, 171.02] Hz 	Comb with fundamental freq 20 and spacing 1
[171.98, 172.02] Hz 	Comb with fundamental freq 20 and spacing 1
[172.98, 173.02] Hz 	Comb with fundamental freq 20 and spacing 1
[173.98, 174.02] Hz 	Comb with fundamental freq 20 and spacing 1
[174.98, 175.02] Hz 	Comb with fundamental freq 20 and spacing 1
[175.98, 176.02] Hz 	Comb with fundamental freq 20 and spacing 1
[176.98, 177.02] Hz 	Comb with fundamental freq 20 and spacing 1
[177.98, 178.02] Hz 	Comb with fundamental freq 20 and spacing 1
